Region name,Year,Forecast_Affordability_Ratio,Model
East Midlands,2025,7.139714285714286,Rolling Mean Baseline (2)
East Midlands,2026,6.9877142857142855,Rolling Mean Baseline (2)
East Midlands,2027,7.063714285714285,Rolling Mean Baseline (2)
East Midlands,2028,7.025714285714285,Rolling Mean Baseline (2)
East Midlands,2029,7.044714285714285,Rolling Mean Baseline (2)
East of England,2025,9.359333333333332,Rolling Mean Baseline (2)
East of England,2026,9.118666666666666,Rolling Mean Baseline (2)
East of England,2027,9.238999999999999,Rolling Mean Baseline (2)
East of England,2028,9.178833333333333,Rolling Mean Baseline (2)
East of England,2029,9.208916666666667,Rolling Mean Baseline (2)
London,2025,12.88265625,Rolling Mean Baseline (2)
London,2026,12.634140625,Rolling Mean Baseline (2)
London,2027,12.7583984375,Rolling Mean Baseline (2)
London,2028,12.69626953125,Rolling Mean Baseline (2)
London,2029,12.727333984375,Rolling Mean Baseline (2)
North East,2025,5.035833333333334,Rolling Mean Baseline (2)
North East,2026,4.91375,Rolling Mean Baseline (2)
North East,2027,4.9747916666666665,Rolling Mean Baseline (2)
North East,2028,4.944270833333333,Rolling Mean Baseline (2)
North East,2029,4.9595312499999995,Rolling Mean Baseline (2)
North West,2025,5.909571428571429,Rolling Mean Baseline (2)
North West,2026,5.791357142857143,Rolling Mean Baseline (2)
North West,2027,5.850464285714286,Rolling Mean Baseline (2)
North West,2028,5.820910714285715,Rolling Mean Baseline (2)
North West,2029,5.835687500000001,Rolling Mean Baseline (2)
South East,2025,10.0378125,Rolling Mean Baseline (2)
South East,2026,9.790781249999998,Rolling Mean Baseline (2)
South East,2027,9.914296874999998,Rolling Mean Baseline (2)
South East,2028,9.852539062499998,Rolling Mean Baseline (2)
South East,2029,9.883417968749999,Rolling Mean Baseline (2)
South West,2025,8.998076923076923,Rolling Mean Baseline (2)
South West,2026,8.767307692307693,Rolling Mean Baseline (2)
South West,2027,8.882692307692308,Rolling Mean Baseline (2)
South West,2028,8.825,Rolling Mean Baseline (2)
South West,2029,8.853846153846153,Rolling Mean Baseline (2)
Wales,2025,6.005227272727273,Rolling Mean Baseline (2)
Wales,2026,5.909431818181819,Rolling Mean Baseline (2)
Wales,2027,5.957329545454546,Rolling Mean Baseline (2)
Wales,2028,5.933380681818182,Rolling Mean Baseline (2)
Wales,2029,5.945355113636364,Rolling Mean Baseline (2)
West Midlands,2025,7.2285,Rolling Mean Baseline (2)
West Midlands,2026,7.102916666666667,Rolling Mean Baseline (2)
West Midlands,2027,7.165708333333334,Rolling Mean Baseline (2)
West Midlands,2028,7.1343125,Rolling Mean Baseline (2)
West Midlands,2029,7.150010416666667,Rolling Mean Baseline (2)
Yorkshire and The Humber,2025,5.849333333333334,Rolling Mean Baseline (2)
Yorkshire and The Humber,2026,5.7090000000000005,Rolling Mean Baseline (2)
Yorkshire and The Humber,2027,5.779166666666667,Rolling Mean Baseline (2)
Yorkshire and The Humber,2028,5.744083333333334,Rolling Mean Baseline (2)
Yorkshire and The Humber,2029,5.761625,Rolling Mean Baseline (2)
